PACKAGE OF 590W PANELS(SINGLE PHASE),,,,,,,,,,,,PACKAGE OF 620W PANELS(SINGLE PHASE),,,,,,,,,,,,PACKAGE OF 650W PANELS(SINGLE PHASE),,,,,,,
20,8,1X [3P] SAJ H2 8KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 20 PCS 590W,"20 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 8KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM38,314.00 ",,,,,19,8,1X [3P] SAJ H2 8KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 19 PCS 620W,"19X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 8KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM38,387.00 ",,,,,18,8,1X [3P] SAJ H2 8KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 18 PCS 650W,"18X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 8KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM36,890.00 "
21,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 21 PCS 590W,"21 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM39,438.00 ",,,,,20,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 20 PCS 620W,"20X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM39,004.00 ",,,,,19,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 19 PCS 650W,"19X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM38,950.00 "
22,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 22 PCS 590W,"22 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM40,548.00 ",,,,,21,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 21 PCS 620W,"21X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM40,131.00 ",,,,,20,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 20 PCS 650W,"20X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM40,405.00 "
23,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 23 PCS 590W,"23 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM41,550.00 ",,,,,22,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 22 PCS 620W,"22X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM41,274.00 ",,,,,21,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 21 PCS 650W,"21X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM41,600.00 "
24,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 24 PCS 590W,"24 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM42,559.00 ",,,,,23,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 23 PCS 620W,"23X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM42,419.00 ",,,,,22,10,1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 22 PCS 650W,"22X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 10KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM42,815.00 "
25,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 25 PCS 590W,"25 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM43,650.00 ",,,,,24,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 24 PCS 620W,"24X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM43,461.00 ",,,,,23,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 23 PCS 650W,"23X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM43,920.00 "
26,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 26 PCS 590W,"26 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM44,830.00 ",,,,,25,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 25 PCS 620W,"25X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM44,475.00 ",,,,,24,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 24 PCS 650W,"24X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM45,030.00 "
27,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 27 PCS 590W,"27 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM45,821.00 ",,,,,26,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 26 PCS 620W,"26X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM45,688.00 ",,,,,25,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 25 PCS 650W,"25X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM46,115.00 "
28,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 28 PCS 590W,"28 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM46,813.00 ",,,,,27,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 27 PCS 620W,"27X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM46,712.00 ",,,,,26,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 26 PCS 650W,"26X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM47,400.00 "
29,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 29 PCS 590W,"29 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM47,849.00 ",,,,,28,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 28 PCS 620W,"28X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM47,737.00 ",,,,,27,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 27 PCS 650W,"27X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM48,490.00 "
30,12,1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 30 PCS 590W,"30 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 12KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM48,839.00 ",,,,,29,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 29 PCS 620W,"29X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM49,476.00 ",,,,,28,15,1X [3P] SAJ H2 15KW Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 28 PCS 650W,"28X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 15KW Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM50,370.00 "
31,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 31 PCS 590W,"31 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM51,439.00 ",,,,,30,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 30 PCS 620W,"30X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM50,499.00 ",,,,,29,15,1X [3P] SAJ H2 15KW Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 29 PCS 650W,"29X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 15KW Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM51,510.00 "
32,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 32 PCS 590W,"32 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM52,924.00 ",,,,,31,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 31 PCS 620W,"31X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM52,462.00 ",,,,,30,15,1X [3P] SAJ H2 15KW Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 30 PCS 650W,"30X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 15KW Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM52,600.00 "
33,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 33 PCS 590W,"33 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM53,921.00 ",,,,,32,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 32 PCS 620W,"32X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM53,980.00 ",,,,,31,15,1X [3P] SAJ H2 15KW Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 31 PCS 650W,"31X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 15KW Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM54,630.00 "
34,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 34 PCS 590W,"34 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM54,946.00 ",,,,,33,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 33 PCS 620W,"33X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM55,010.00 ",,,,,32,15,1X [3P] SAJ H2 15KW Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 32 PCS 650W,"32X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 15KW Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM56,220.00 "
