PACKAGE OF 590W PANELS(SINGLE PHASE),,,,,,,,,,,,PACKAGE OF 620W PANELS(SINGLE PHASE),,,,,,,,,,,,PACKAGE OF 650W PANELS(SINGLE PHASE),,,,,,,
35,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 35 PCS 590W,"35 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM55,945.00 ",,,,,34,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 34 PCS 620W,"34X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM56,068.00 ",,,,,33,15,1X [3P] SAJ H2 15KW Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 33 PCS 650W,"33X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 15KW Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM57,320.00 "
36,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 36 PCS 590W,"36 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM56,947.00 ",,,,,35,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 35 PCS 620W,"35X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM57,101.00 ",,,,,34,15,1X [3P] SAJ H2 15KW Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 34 PCS 650W,"34X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 15KW Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM58,450.00 "
37,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 37 PCS 590W,"37 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM57,952.00 ",,,,,36,15,1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 36 PCS 620W,"36X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 15KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM58,135.00 ",,,,,35,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 35 PCS 650W,"35X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM61,720.00 "
38,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 38 PCS 590W,"38 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM61,131.00 ",,,,,37,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 37 PCS 620W,"37X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM61,343.00 ",,,,,36,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 36 PCS 650W,"36X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM63,130.00 "
39,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 39 PCS 590W,"39 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM62,521.00 ",,,,,38,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 38 PCS 620W,"38X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM62,385.00 ",,,,,37,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 37 PCS 650W,"37X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM63,940.00 "
40,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 40 PCS 590W,"40 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM63,527.00 ",,,,,39,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 39 PCS 620W,"39X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM63,808.00 ",,,,,38,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 38 PCS 650W,"38X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM65,045.00 "
41,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 41 PCS 590W,"41 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM64,542.00 ",,,,,40,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 40 PCS 620W,"40X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM64,847.00 ",,,,,39,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 39 PCS 650W,"39X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM66,540.00 "
42,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 42 PCS 590W,"42 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM65,539.00 ",,,,,41,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 41 PCS 620W,"41X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM65,895.00 ",,,,,40,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 40 PCS 650W,"40X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM67,650.00 "
43,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 43 PCS 590W,"43 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM66,543.00 ",,,,,42,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 42 PCS 620W,"42X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM66,925.00 ",,,,,41,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 41 PCS 650W,"41X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM68,765.00 "
44,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 44 PCS 590W,"44 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM67,551.00 ",,,,,43,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 43 PCS 620W,"43X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM67,962.00 ",,,,,42,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 42 PCS 650W,"42X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM69,865.00 "
45,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 45 PCS 590W,"45 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM68,554.00 ",,,,,44,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 44 PCS 620W,"44X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM69,003.00 ",,,,,43,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 43 PCS 650W,"43X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM70,970.00 "
46,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 46 PCS 590W,"46 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM69,557.00 ",,,,,45,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 45 PCS 620W,"45X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM70,039.00 ",,,,,44,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 44 PCS 650W,"44X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM72,090.00 "
47,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 47 PCS 590W,"47 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM70,566.00 ",,,,,46,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 46 PCS 620W,"46X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM71,075.00 ",,,,,45,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 45 PCS 650W,"45X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM73,190.00 "
48,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[3P] HYBIRD SAJ JINKO 48 PCS 590W,"48 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM71,574.00 ",,,,,47,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 47 PCS 620W,"47X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM72,117.00 ",,,,,46,25,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 46 PCS 650W,"46X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM74,295.00 "
,,,,,,,,,,,,48,20,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[3P] HYBIRD SAJ JINKO 48 PCS 620W,"48X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM73,158.00 ",,,,,47,25,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 47 PCS 650W,"47X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM75,410.00 "
,,,,,,,,,,,,,,,,,,,,,,,,48,25,1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] HYBIRD SAJ JINKO 48 PCS 650W,"48X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ H2 20KW THREE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM76,520.00 "
