PACKAGE OF 650W PANELS(SINGLE PHASE),,,,,,,,,,,,
NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,Type,Price,,,,,
8,4,1X [1P] SAJ R5 4KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 8 PCS,"8X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 4KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM19,100.00 ",,,,,
9,4,1X [1P] SAJ R5 4KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 9 PCS,"9X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 4KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM20,210.00 ",,,,,
10,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 10 PCS,"10X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM21,320.00 ",,,,,
11,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 11 PCS,"11X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM24,100.00 ",,,,,
12,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 12 PCS,"12X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM25,225.00 ",,,,,
13,6,1X [1P] SAJ R5 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 13 PCS,"13X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 6KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM26,440.00 ",,,,,
14,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 14 PCS,"14X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 7KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM28,210.00 ",,,,,
15,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 15 PCS,"15X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 7KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM29,310.00 ",,,,,
16,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 16 PCS,"16X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 7KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM31,120.00 ",,,,,
17,8,1X [1P] SAJ R5 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 17 PCS,"17X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM32,230.00 ",,,,,
18,8,1X [1P] SAJ R5 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 18 PCS,"18X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM33,580.00 ",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PACKAGE OF 650W PANELS(THREE PHASE),,,,,,,,,,,,
NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,Type,Price,,,,,
10,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 10 PCS,"10X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM22,070.00 ",,,,,
11,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 11 PCS,"11X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM24,850.00 ",,,,,
12,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 12 PCS,"12X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM25,975.00 ",,,,,
13,6,1X [3P] SAJ R6 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 13 PCS,"13X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 6KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM27,190.00 ",,,,,
14,6,1X [3P] SAJ R6 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 14 PCS,"14X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 6KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM28,960.00 ",,,,,
15,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 15 PCS,"15X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM30,060.00 ",,,,,
16,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 16 PCS,"16X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM31,870.00 ",,,,,
17,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 17 PCS,"17X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM32,980.00 ",,,,,
18,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 18 PCS,"18X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM34,330.00 ",,,,,
19,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 19 PCS,"19X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 10KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM36,360.00 ",,,,,
20,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 20 PCS,"20X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 10KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM37,815.00 ",,,,,
21,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 21 PCS,"21X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 10KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM39,010.00 ",,,,,
22,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 22 PCS,"22X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 10KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM40,225.00 ",,,,,
23,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 23 PCS,"23X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM41,330.00 ",,,,,
24,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 24 PCS,"24X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM42,440.00 ",,,,,
25,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 25 PCS,"25X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM43,525.00 ",,,,,
26,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 26 PCS,"26X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM44,810.00 ",,,,,
27,12,1X [3P] SAJ R6 12KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 27 PCS,"27X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM45,900.00 ",,,,,
28,12.5,1X [3P] SAJ R6 12.5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 28 PCS,"28X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12.5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM47,000.00 ",,,,,
29,12.5,1X [3P] SAJ R6 12.5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 29 PCS,"29X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12.5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM48,140.00 ",,,,,
30,12.5,1X [3P] SAJ R6 12.5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 30 PCS,"30X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12.5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM49,230.00 ",,,,,
31,12.5,1X [3P] SAJ R6 12.5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 31 PCS,"31X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12.5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM51,260.00 ",,,,,
32,12.5,1X [3P] SAJ R6 12.5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 32 PCS,"32X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12.5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM52,850.00 ",,,,,
33,12.5,1X [3P] SAJ R6 12.5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 33 PCS,"33X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12.5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM53,950.00 ",,,,,
34,12.5,1X [3P] SAJ R6 12.5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 34 PCS,"34X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 12.5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM55,080.00 ",,,,,
35,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 35 PCS,"35X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM56,180.00 ",,,,,
36,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 36 PCS,"36X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM57,590.00 ",,,,,
37,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 37 PCS,"37X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM58,400.00 ",,,,,
38,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 38 PCS,"38X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM59,505.00 ",,,,,
39,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 39 PCS,"39X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM61,000.00 ",,,,,
40,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 40 PCS,"40X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM62,110.00 ",,,,,
41,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 41 PCS,"41X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM63,225.00 ",,,,,
42,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 42 PCS,"42X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM64,325.00 ",,,,,
43,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 43 PCS,"43X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM65,430.00 ",,,,,
44,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 44 PCS,"44X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM66,550.00 ",,,,,
45,20,1X [3P] SAJ R6 20KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 45 PCS,"45X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 20KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM67,650.00 ",,,,,
46,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 46 PCS,"46X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM68,755.00 ",,,,,
47,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 47 PCS,"47X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM69,870.00 ",,,,,
48,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[3P] STRING SAJ JINKO 48 PCS,"48X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM70,980.00 ",,,,,
